"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"22690","ENSG00000203721",51,0,0.0014,0.731597161,0.884784385,"LINC00862","#N/A","#N/A"
"22691","ENSG00000157322",95,0,0.0014,0.731716284,0.884889451,"CLEC18A","9606.ENSP00000484176","Ensembl_gene"
"22692","ENSG00000132405",6440,1e-04,0.0014,0.731785039,0.884894604,"TBC1D14","9606.ENSP00000386921","Ensembl_gene"
"22693","ENSG00000175582",2913,-1e-04,0.0014,0.73176025,0.884894604,"RAB6A","9606.ENSP00000311449","Ensembl_gene"
"22694","ENSG00000162739",3436,-1e-04,0.0014,0.731981133,0.885053724,"SLAMF6","9606.ENSP00000357036","Ensembl_gene"
"22695","ENSG00000226808",1,0,0.0014,0.731958721,0.885053724,"LINC00840","#N/A","#N/A"
"22696","ENSG00000135845",1386,-1e-04,0.0014,0.732095066,0.885152481,"PIGC","9606.ENSP00000356702","Ensembl_gene"
"22697","ENSG00000269145",3,0,0.0014,0.732135193,0.885161996,"AC007192.2","#N/A","#N/A"
"22698","ENSG00000166803",19,0,0.0014,0.732281186,0.885218625,"PCLAF","9606.ENSP00000300035","Ensembl_gene"
"22699","ENSG00000176410",334,-3e-04,0.0015,0.732279427,0.885218625,"DNAJC30","9606.ENSP00000378605","Ensembl_gene"
"22700","ENSG00000255507",3,0,0.0014,0.732309862,0.885218625,"UVRAG-DT","#N/A","#N/A"
"22701","ENSG00000280278",1,0,0.0014,0.732311067,0.885218625,"AC009108.5","#N/A","#N/A"
"22702","ENSG00000274209",4,0,0.0014,0.732409598,0.885298731,"ANTXRL","9606.ENSP00000480615","Ensembl_gene"
"22703","ENSG00000285925",1,0,0.0014,0.732485873,0.885351929,"AC007391.2","#N/A","#N/A"
"22704","ENSG00000101353",44,0,0.0014,0.732679174,0.885448821,"MROH8","9606.ENSP00000339971","Ensembl_gene"
"22705","ENSG00000197599",205,0,0.0014,0.732702528,0.885448821,"CCDC154","9606.ENSP00000373828","Ensembl_gene"
"22706","ENSG00000211676",13,0,0.0014,0.732663275,0.885448821,"IGLJ2","#N/A","#N/A"
"22707","ENSG00000215187",11,0,0.0014,0.732718712,0.885448821,"FAM166B","9606.ENSP00000382646","Ensembl_gene"
"22708","ENSG00000270248",1,0,0.0014,0.732727372,0.885448821,"AC011468.4","#N/A","#N/A"
"22709","ENSG00000184292",84,0,0.0014,0.732941971,0.885591151,"TACSTD2","9606.ENSP00000360269","Ensembl_gene"
"22710","ENSG00000187242",1,0,0.0014,0.732892625,0.885591151,"KRT12","9606.ENSP00000251643","Ensembl_gene"
"22711","ENSG00000254006",21,0,0.0014,0.732927715,0.885591151,"AC104232.1","#N/A","#N/A"
"22712","ENSG00000092841",19777,0,0.0014,0.73305219,0.885661842,"MYL6","9606.ENSP00000446955","Ensembl_gene"
"22713","ENSG00000198844",1,0,0.0014,0.733115882,0.885661842,"ARHGEF15","9606.ENSP00000355026","Ensembl_gene"
"22714","ENSG00000258875",390,0,0.0014,0.733129578,0.885661842,"AL135818.1","#N/A","#N/A"
"22715","ENSG00000285688",4,0,0.0014,0.733116411,0.885661842,"AL161443.1","#N/A","#N/A"
"22716","ENSG00000115919",921,0,0.0014,0.733387803,0.885895792,"KYNU","9606.ENSP00000264170","Ensembl_gene"
"22717","ENSG00000214309",53,0,0.0014,0.733377439,0.885895792,"MBLAC1","9606.ENSP00000381150","Ensembl_gene"
"22718","ENSG00000235665",23,0,0.0014,0.733436722,0.885915886,"LINC00298","#N/A","#N/A"
"22719","ENSG00000231050",8,0,0.0014,0.733471966,0.88591946,"AL109917.1","#N/A","#N/A"
"22720","ENSG00000231125",8,0,0.0014,0.733589602,0.885930622,"AF129075.2","#N/A","#N/A"
"22721","ENSG00000248971",26,0,0.0014,0.733610347,0.885930622,"KRT8P46","#N/A","#N/A"
"22722","ENSG00000271795",72,0,0.0014,0.733584023,0.885930622,"AC011337.1","#N/A","#N/A"
"22723","ENSG00000282499",112,0,0.0014,0.733554838,0.885930622,"TRBV25-1","#N/A","#N/A"
"22724","ENSG00000166896",180,0,0.0014,0.733711102,0.885935332,"ATP23","9606.ENSP00000300145","Ensembl_gene"
"22725","ENSG00000175202",1,0,0.0014,0.733700308,0.885935332,"HIGD2B","9606.ENSP00000307951","Ensembl_gene"
"22726","ENSG00000276500",2,0,0.0014,0.733690984,0.885935332,"BMS1P14","#N/A","#N/A"
"22727","ENSG00000244218",2,0,0.0014,0.73381859,0.886026133,"RN7SL81P","#N/A","#N/A"
"22728","ENSG00000233614",394,0,0.0014,0.733894453,0.886078743,"DDX11L10","#N/A","#N/A"
"22729","ENSG00000225830",685,-3e-04,0.0015,0.733940415,0.88609525,"ERCC6","9606.ENSP00000348089","Ensembl_gene"
"22730","ENSG00000064201",4080,-4e-04,0.0015,0.733989205,0.886115168,"TSPAN32","9606.ENSP00000182290","Ensembl_gene"
"22731","ENSG00000185825",7462,0,0.0014,0.73403912,0.886136444,"BCAP31","9606.ENSP00000392330","Ensembl_gene"
"22732","ENSG00000151702",7200,1e-04,0.0014,0.73413369,0.886172638,"FLI1","9606.ENSP00000433488","Ensembl_gene"
"22733","ENSG00000272402",10,0,0.0014,0.734124503,0.886172638,"AL031775.2","#N/A","#N/A"
"22734","ENSG00000160799",1947,0,0.0014,0.734218589,0.886204638,"CCDC12","9606.ENSP00000292314","Ensembl_gene"
"22735","ENSG00000188739",30,0,0.0014,0.73422479,0.886204638,"RBM34","9606.ENSP00000386226","Ensembl_gene"
"22736","ENSG00000187105",1,0,0.0014,0.734289431,0.886243679,"HEATR4","9606.ENSP00000450444","Ensembl_gene"
"22737","ENSG00000275812",1,0,0.0014,0.73432573,0.88624851,"AL121829.2","#N/A","#N/A"
"22738","ENSG00000258593",1,0,0.0014,0.734366516,0.886258754,"AL583810.1","#N/A","#N/A"
"22739","ENSG00000038274",4715,0,0.0014,0.734509124,0.886338617,"MAT2B","9606.ENSP00000325425","Ensembl_gene"
