"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"10603","ENSG00000215271",530,0.0226,0.0554,0.513,0.796,"HOMEZ","9606.ENSP00000350049","Ensembl_gene"
"10604","ENSG00000288398",166,-0.0208,0.0606,0.513,0.796,"AL109627.1","#N/A","#N/A"
"10605","ENSG00000151348",931,0.0212,0.058,0.513,0.796,"EXT2","9606.ENSP00000379032","Ensembl_gene"
"10606","ENSG00000164674",2144,-0.022,0.0576,0.513,0.796,"SYTL3","9606.ENSP00000483936","Ensembl_gene"
"10607","ENSG00000133065",489,0.0181,0.0614,0.513,0.796,"SLC41A1","9606.ENSP00000356105","Ensembl_gene"
"10608","ENSG00000213178",44,0.013,0.0668,0.513,0.796,"RPL22P1","#N/A","#N/A"
"10609","ENSG00000259235",15,0.008,0.0684,0.513,0.796,"AC066612.1","#N/A","#N/A"
"10610","ENSG00000283196",14,-0.0102,0.0676,0.513,0.796,"AC006453.3","#N/A","#N/A"
"10611","ENSG00000287265",100,0.0194,0.0626,0.513,0.796,"AL365272.1","#N/A","#N/A"
"10612","ENSG00000188976",2472,-0.0227,0.054,0.513,0.796,"NOC2L","9606.ENSP00000317992","Ensembl_gene"
"10613","ENSG00000265401",21,-0.0049,0.0682,0.513,0.796,"AC093484.3","#N/A","#N/A"
"10614","ENSG00000075426",5348,0.021,0.0602,0.513,0.796,"FOSL2","9606.ENSP00000264716","Ensembl_gene"
"10615","ENSG00000100336",85,-0.0128,0.0667,0.513,0.796,"APOL4","9606.ENSP00000338260","Ensembl_gene"
"10616","ENSG00000275302",542,-0.0194,0.0624,0.513,0.796,"CCL4","9606.ENSP00000482259","Ensembl_gene"
"10617","ENSG00000162222",890,-0.0221,0.0437,0.514,0.797,"TTC9C","9606.ENSP00000325266","Ensembl_gene"
"10618","ENSG00000137274",182,-0.0222,0.0582,0.514,0.797,"BPHL","9606.ENSP00000369739","Ensembl_gene"
"10619","ENSG00000163083",40,-0.0134,0.0666,0.514,0.797,"INHBB","9606.ENSP00000295228","Ensembl_gene"
"10620","ENSG00000179611",86,-0.0197,0.0614,0.514,0.797,"DGKZP1","#N/A","#N/A"
"10621","ENSG00000137460",132,0.016,0.0654,0.514,0.797,"FHDC1","9606.ENSP00000427567","Ensembl_gene"
"10622","ENSG00000158019",1168,-0.0233,0.0582,0.514,0.797,"BABAM2","9606.ENSP00000343412","Ensembl_gene"
"10623","ENSG00000160293",693,0.0192,0.0606,0.514,0.797,"VAV2","9606.ENSP00000360916","Ensembl_gene"
"10624","ENSG00000160746",946,-0.022,0.0581,0.514,0.797,"ANO10","9606.ENSP00000292246","Ensembl_gene"
"10625","ENSG00000210100",51,-0.0099,0.0675,0.514,0.797,"MT-TI","#N/A","#N/A"
"10626","ENSG00000163590",192,0.0185,0.0631,0.514,0.797,"PPM1L","9606.ENSP00000417659","Ensembl_gene"
"10627","ENSG00000169951",363,-0.0231,0.0527,0.514,0.797,"ZNF764","9606.ENSP00000252797","Ensembl_gene"
"10628","ENSG00000006530",375,0.0221,0.0583,0.515,0.797,"AGK","9606.ENSP00000347581","Ensembl_gene"
"10629","ENSG00000065526",2640,0.0195,0.0623,0.515,0.797,"SPEN","9606.ENSP00000364912","Ensembl_gene"
"10630","ENSG00000067533",202,0.0199,0.0618,0.515,0.797,"RRP15","9606.ENSP00000355899","Ensembl_gene"
"10631","ENSG00000124102",8716,-0.0167,0.0647,0.515,0.797,"PI3","9606.ENSP00000243924","Ensembl_gene"
"10632","ENSG00000136936",309,0.014,0.0602,0.515,0.797,"XPA","9606.ENSP00000364270","Ensembl_gene"
"10633","ENSG00000139990",2787,0.0229,0.0517,0.515,0.797,"DCAF5","9606.ENSP00000341351","Ensembl_gene"
"10634","ENSG00000140836",121,0.017,0.0647,0.515,0.797,"ZFHX3","9606.ENSP00000268489","Ensembl_gene"
"10635","ENSG00000146963",460,0.0211,0.0581,0.515,0.797,"LUC7L2","9606.ENSP00000347005","Ensembl_gene"
"10636","ENSG00000149506",15,-0.0106,0.0675,0.515,0.797,"ZP1","9606.ENSP00000278853","Ensembl_gene"
"10637","ENSG00000149582",245,-0.0195,0.0619,0.515,0.797,"TMEM25","9606.ENSP00000315635","Ensembl_gene"
"10638","ENSG00000164715",638,0.0202,0.0614,0.515,0.797,"LMTK2","9606.ENSP00000297293","Ensembl_gene"
"10639","ENSG00000171385",18,-0.0125,0.0668,0.515,0.797,"KCND3","9606.ENSP00000319591","Ensembl_gene"
"10640","ENSG00000172890",9691,-0.0219,0.0428,0.515,0.797,"NADSYN1","9606.ENSP00000326424","Ensembl_gene"
"10641","ENSG00000226648",25,-0.0145,0.0662,0.515,0.797,"PLCG1-AS1","#N/A","#N/A"
"10642","ENSG00000259456",15,0.0114,0.0674,0.515,0.797,"ADNP-AS1","#N/A","#N/A"
"10643","ENSG00000277152",24,-0.0103,0.0674,0.515,0.797,"AC110048.2","#N/A","#N/A"
"10644","ENSG00000287261",14,-0.0115,0.0673,0.515,0.797,"AL139243.1","#N/A","#N/A"
"10645","ENSG00000176927",22,0.0115,0.0667,0.515,0.797,"EFCAB5","9606.ENSP00000378312","Ensembl_gene"
"10646","ENSG00000137818",65640,-0.018,0.0637,0.515,0.797,"RPLP1","9606.ENSP00000346037","Ensembl_gene"
"10647","ENSG00000166289",922,-0.0214,0.0578,0.516,0.797,"PLEKHF1","9606.ENSP00000389787","Ensembl_gene"
"10648","ENSG00000225151",350,0.0219,0.058,0.515,0.797,"GOLGA2P7","#N/A","#N/A"
"10649","ENSG00000231205",16,-0.0081,0.0678,0.516,0.797,"ZNF826P","#N/A","#N/A"
"10650","ENSG00000253392",30,0.017,0.0651,0.516,0.797,"AC119403.1","#N/A","#N/A"
"10651","ENSG00000267174",1611,-0.0208,0.0601,0.515,0.797,"AC011472.2","#N/A","#N/A"
"10652","ENSG00000134243",1962,-0.0219,0.0574,0.516,0.797,"SORT1","9606.ENSP00000256637","Ensembl_gene"
"10653","ENSG00000136861",1659,0.0219,0.0576,0.516,0.797,"CDK5RAP2","9606.ENSP00000343818","Ensembl_gene"
"10654","ENSG00000259182",34,0.0135,0.0668,0.516,0.797,"AC019254.1","#N/A","#N/A"
"10655","ENSG00000165682",87,-0.0143,0.0662,0.516,0.797,"CLEC1B","9606.ENSP00000298527","Ensembl_gene"
"10656","ENSG00000101997",1927,-0.0227,0.0507,0.516,0.797,"CCDC22","9606.ENSP00000365401","Ensembl_gene"
"10657","ENSG00000108551",20,0.0134,0.0669,0.516,0.797,"RASD1","9606.ENSP00000225688","Ensembl_gene"
"10658","ENSG00000129636",792,0.0222,0.056,0.516,0.797,"ITFG1","9606.ENSP00000319918","Ensembl_gene"
"10659","ENSG00000181804",447,0.0228,0.0557,0.516,0.797,"SLC9A9","9606.ENSP00000320246","Ensembl_gene"
"10660","ENSG00000204584",217,-0.0213,0.0594,0.516,0.798,"AC027801.1","#N/A","#N/A"
"10661","ENSG00000120709",6678,-0.0226,0.0537,0.516,0.798,"FAM53C","9606.ENSP00000239906","Ensembl_gene"
"10662","ENSG00000261526",209,0.0186,0.0633,0.516,0.798,"AC012615.1","#N/A","#N/A"
"10663","ENSG00000117395",961,-0.0221,0.0553,0.517,0.798,"EBNA1BP2","9606.ENSP00000407323","Ensembl_gene"
"10664","ENSG00000245149",65,0.0192,0.0632,0.517,0.798,"RNF139-AS1","#N/A","#N/A"
"10665","ENSG00000119772",1857,0.0225,0.0472,0.517,0.798,"DNMT3A","9606.ENSP00000264709","Ensembl_gene"
"10666","ENSG00000105705",2231,-0.0225,0.0483,0.518,0.799,"SUGP1","9606.ENSP00000247001","Ensembl_gene"
"10667","ENSG00000105928",22,-0.0123,0.0671,0.518,0.799,"GSDME","9606.ENSP00000339587","Ensembl_gene"
"10668","ENSG00000115216",6947,-0.0203,0.054,0.518,0.799,"NRBP1","9606.ENSP00000233557","Ensembl_gene"
"10669","ENSG00000135269",2484,0.0226,0.0487,0.518,0.799,"TES","9606.ENSP00000350937","Ensembl_gene"
"10670","ENSG00000135925",127,0.016,0.0655,0.517,0.799,"WNT10A","9606.ENSP00000258411","Ensembl_gene"
"10671","ENSG00000155085",109,0.0201,0.0611,0.517,0.799,"AK9","9606.ENSP00000410186","Ensembl_gene"
"10672","ENSG00000165516",1058,0.0108,0.0578,0.518,0.799,"KLHDC2","9606.ENSP00000298307","Ensembl_gene"
