"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"43796","ENSG00000185722",3114,-0.0484,0.0373,0.00659,0.119,"ANKFY1","9606.ENSP00000459943","Ensembl_gene"
"43797","ENSG00000206603",1,-0.0315,0.071,0.00639,0.118,"SNORA22B","",""
"43798","ENSG00000114686",987,-0.1846,0.1215,0.0064,0.118,"MRPL3","9606.ENSP00000264995","Ensembl_gene"
"43799","ENSG00000269968",16,0.0404,0.0796,0.0064,0.118,"AC006064.4","",""
"43800","ENSG00000187605",2082,0.137,0.0756,0.00641,0.118,"TET3","9606.ENSP00000386869","Ensembl_gene"
"43801","ENSG00000172244",38,-0.1648,0.1021,0.00642,0.118,"C5orf34","9606.ENSP00000303490","Ensembl_gene"
"43802","ENSG00000189369",296,-0.1221,0.0625,0.00642,0.118,"GSPT2","9606.ENSP00000341247","Ensembl_gene"
"43803","ENSG00000169599",346,-0.1486,0.0845,0.00644,0.118,"NFU1","9606.ENSP00000387219","Ensembl_gene"
"43804","ENSG00000137692",317,-0.173,0.1014,0.00645,0.118,"DCUN1D5","9606.ENSP00000260247","Ensembl_gene"
"43805","ENSG00000232000",3,-0.0464,0.0872,0.00644,0.118,"CLCN3P1","",""
"43806","ENSG00000274139",2,0.0369,0.0759,0.00645,0.118,"AC090164.2","",""
"43807","ENSG00000099998",132,0.2452,0.5948,0.00646,0.118,"GGT5","9606.ENSP00000381340","Ensembl_gene"
"43808","ENSG00000237520",1,0.0237,0.0656,0.00646,0.118,"AL391832.1","",""
"43809","ENSG00000116774",10,0.2355,0.2278,0.00647,0.118,"OLFML3","9606.ENSP00000322273","Ensembl_gene"
"43810","ENSG00000184162",658,-0.1162,0.0571,0.00648,0.118,"NR2C2AP","9606.ENSP00000402756","Ensembl_gene"
"43811","ENSG00000225235",2,-0.0351,0.0741,0.00648,0.118,"INTS6L-AS1","",""
