"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"17829","ENSG00000198353",32,-0.0017,0.0424,0.918,0.978,"HOXC4","9606.ENSP00000399808","Ensembl_gene"
"17830","ENSG00000266947",186,0.0024,0.0359,0.918,0.978,"AC022916.2","#N/A","#N/A"
"17831","ENSG00000114850",2433,0.0023,0.0364,0.918,0.978,"SSR3","9606.ENSP00000265044","Ensembl_gene"
"17832","ENSG00000120156",23,0.0013,0.045,0.918,0.978,"TEK","9606.ENSP00000369375","Ensembl_gene"
"17833","ENSG00000122299",921,-0.0019,0.0411,0.918,0.978,"ZC3H7A","9606.ENSP00000379773","Ensembl_gene"
"17834","ENSG00000179912",1204,-0.0024,0.0307,0.918,0.978,"R3HDM2","9606.ENSP00000317903","Ensembl_gene"
"17835","ENSG00000213967",27,0.0019,0.0419,0.918,0.978,"ZNF726","9606.ENSP00000471516","Ensembl_gene"
"17836","ENSG00000275734",17,0.0017,0.0428,0.918,0.978,"AC010538.1","#N/A","#N/A"
"17837","ENSG00000119772",2062,0.0023,0.0283,0.918,0.978,"DNMT3A","9606.ENSP00000264709","Ensembl_gene"
"17838","ENSG00000223547",246,-0.0023,0.0367,0.918,0.979,"ZNF844","9606.ENSP00000392024","Ensembl_gene"
"17839","ENSG00000244560",74,0.002,0.0406,0.918,0.979,"AC004890.2","#N/A","#N/A"
"17840","ENSG00000145868",1718,-0.002,0.0403,0.919,0.979,"FBXO38","9606.ENSP00000377895","Ensembl_gene"
"17841","ENSG00000238039",41,0.0019,0.0418,0.919,0.979,"AC244197.2","#N/A","#N/A"
"17842","ENSG00000102390",495,0.0023,0.0369,0.919,0.979,"PBDC1","9606.ENSP00000362456","Ensembl_gene"
"17843","ENSG00000285219",17,-0.0015,0.0435,0.919,0.979,"HULC","#N/A","#N/A"
"17844","ENSG00000076201",2206,0.0023,0.0372,0.919,0.979,"PTPN23","9606.ENSP00000265562","Ensembl_gene"
"17845","ENSG00000105948",85,0.0017,0.0428,0.919,0.979,"TTC26","9606.ENSP00000419279","Ensembl_gene"
"17846","ENSG00000122126",213,-0.002,0.0398,0.919,0.979,"OCRL","9606.ENSP00000360154","Ensembl_gene"
"17847","ENSG00000137413",1203,0.0023,0.0362,0.919,0.979,"TAF8","9606.ENSP00000362068","Ensembl_gene"
"17848","ENSG00000185345",13,0.0015,0.0438,0.919,0.979,"PRKN","9606.ENSP00000355865","Ensembl_gene"
"17849","ENSG00000188234",353,0.0016,0.0353,0.919,0.979,"AGAP4","9606.ENSP00000392513","Ensembl_gene"
"17850","ENSG00000225187",10,-0.001,0.045,0.919,0.979,"AC073283.1","#N/A","#N/A"
"17851","ENSG00000116044",2622,-0.0018,0.0414,0.921,0.979,"NFE2L2","9606.ENSP00000380252","Ensembl_gene"
"17852","ENSG00000125384",820,-0.0022,0.0357,0.92,0.979,"PTGER2","9606.ENSP00000245457","Ensembl_gene"
"17853","ENSG00000128284",4575,-0.0022,0.0367,0.92,0.979,"APOL3","9606.ENSP00000344577","Ensembl_gene"
"17854","ENSG00000137055",758,0.0023,0.036,0.92,0.979,"PLAA","9606.ENSP00000380460","Ensembl_gene"
"17855","ENSG00000158571",19,-0.0018,0.0423,0.92,0.979,"PFKFB1","9606.ENSP00000364145","Ensembl_gene"
"17856","ENSG00000158805",6357,-0.0022,0.0264,0.92,0.979,"ZNF276","9606.ENSP00000415836","Ensembl_gene"
"17857","ENSG00000159208",10,-0.0011,0.0449,0.92,0.979,"CIART","9606.ENSP00000290363","Ensembl_gene"
"17858","ENSG00000164556",10,0.0011,0.0449,0.92,0.979,"FAM183BP","9606.ENSP00000386657","Ensembl_gene"
"17859","ENSG00000171612",155,0.0027,0.0352,0.92,0.979,"SLC25A33","9606.ENSP00000306328","Ensembl_gene"
"17860","ENSG00000171631",131,0.0018,0.0422,0.92,0.979,"P2RY6","9606.ENSP00000480966","Ensembl_gene"
"17861","ENSG00000175348",1843,0.0023,0.0301,0.92,0.979,"TMEM9B","9606.ENSP00000433361","Ensembl_gene"
"17862","ENSG00000176868",14,-0.0012,0.0447,0.92,0.979,"AL358781.1","#N/A","#N/A"
"17863","ENSG00000183347",23,0.0011,0.045,0.92,0.979,"GBP6","9606.ENSP00000359485","Ensembl_gene"
"17864","ENSG00000203414",6,0.0015,0.0454,0.92,0.979,"BTBD7P1","#N/A","#N/A"
"17865","ENSG00000217555",250,0.0027,0.0405,0.921,0.979,"CKLF","9606.ENSP00000264001","Ensembl_gene"
"17866","ENSG00000240498",20,0.0015,0.0434,0.92,0.979,"CDKN2B-AS1","#N/A","#N/A"
"17867","ENSG00000268230",9,-7e-04,0.0454,0.92,0.979,"AC012313.3","#N/A","#N/A"
"17868","ENSG00000272564",8,0.0011,0.0449,0.92,0.979,"AC012511.1","#N/A","#N/A"
"17869","ENSG00000278133",684,-0.0022,0.0369,0.921,0.979,"AC135050.6","#N/A","#N/A"
"17870","ENSG00000282320",12,0.0011,0.045,0.92,0.979,"TRBJ1-1","#N/A","#N/A"
"17871","ENSG00000287569",17,-0.0015,0.0436,0.92,0.979,"AL078587.2","#N/A","#N/A"
"17872","ENSG00000138778",35,0.0013,0.0444,0.921,0.979,"CENPE","9606.ENSP00000265148","Ensembl_gene"
"17873","ENSG00000156603",445,0.0023,0.0348,0.921,0.979,"MED19","9606.ENSP00000337340","Ensembl_gene"
"17874","ENSG00000166478",1009,0.0022,0.0363,0.921,0.979,"ZNF143","9606.ENSP00000379847","Ensembl_gene"
"17875","ENSG00000270195",107,-0.0019,0.0405,0.921,0.979,"AC016773.2","#N/A","#N/A"
"17876","ENSG00000254258",6,-8e-04,0.0456,0.921,0.979,"AC087354.1","#N/A","#N/A"
"17877","ENSG00000185379",450,0.0023,0.0309,0.921,0.98,"RAD51D","9606.ENSP00000466399","Ensembl_gene"
"17878","ENSG00000187164",370,0.0016,0.0426,0.921,0.98,"SHTN1","9606.ENSP00000347532","Ensembl_gene"
"17879","ENSG00000197958",54898,-0.0018,0.0417,0.921,0.98,"RPL12","9606.ENSP00000354739","Ensembl_gene"
"17880","ENSG00000232208",69,0.0018,0.042,0.921,0.98,"AL139415.1","#N/A","#N/A"
"17881","ENSG00000270096",12,0.0011,0.045,0.922,0.98,"AC078795.2","#N/A","#N/A"
"17882","ENSG00000214193",379,-0.002,0.04,0.922,0.98,"SH3D21","9606.ENSP00000421294","Ensembl_gene"
"17883","ENSG00000249846",32,0.0019,0.041,0.922,0.98,"LINC02021","#N/A","#N/A"
"17884","ENSG00000115155",84,9e-04,0.0454,0.922,0.98,"OTOF","9606.ENSP00000272371","Ensembl_gene"
"17885","ENSG00000131697",470,-0.0022,0.0341,0.922,0.98,"NPHP4","9606.ENSP00000367398","Ensembl_gene"
"17886","ENSG00000168282",1001,0.0022,0.0352,0.922,0.98,"MGAT2","9606.ENSP00000307423","Ensembl_gene"
"17887","ENSG00000179115",1842,-0.0021,0.0377,0.922,0.98,"FARSA","9606.ENSP00000320309","Ensembl_gene"
"17888","ENSG00000183291",4008,-0.0022,0.0348,0.922,0.98,"SELENOF","9606.ENSP00000328729","Ensembl_gene"
"17889","ENSG00000183421",20,0.0011,0.0448,0.922,0.98,"RIPK4","9606.ENSP00000332454","Ensembl_gene"
"17890","ENSG00000184224",73,0.0016,0.0426,0.922,0.98,"C11orf72","#N/A","#N/A"
"17891","ENSG00000200737",7,-7e-04,0.0454,0.922,0.98,"AL355490.1","#N/A","#N/A"
"17892","ENSG00000204366",30,0.0012,0.0433,0.922,0.98,"ZBTB12","9606.ENSP00000364677","Ensembl_gene"
"17893","ENSG00000211639",38,-6e-04,0.0448,0.922,0.98,"IGLV4-60","#N/A","#N/A"
"17894","ENSG00000213906",120,0.002,0.0394,0.923,0.98,"LTB4R2","9606.ENSP00000445772","Ensembl_gene"
"17895","ENSG00000226742",336,0.0021,0.0384,0.922,0.98,"HSBP1L1","9606.ENSP00000414236","Ensembl_gene"
"17896","ENSG00000241975",6,0.001,0.0458,0.922,0.98,"ELOCP19","#N/A","#N/A"
"17897","ENSG00000143870",3217,0.0023,0.0341,0.923,0.98,"PDIA6","9606.ENSP00000385385","Ensembl_gene"
"17898","ENSG00000087302",2210,0.0021,0.0375,0.923,0.98,"RTRAF","9606.ENSP00000261700","Ensembl_gene"
"17899","ENSG00000137449",214,-0.0017,0.0419,0.923,0.98,"CPEB2","9606.ENSP00000443985","Ensembl_gene"
"17900","ENSG00000143845",46,0.0017,0.0429,0.923,0.98,"ETNK2","9606.ENSP00000356169","Ensembl_gene"
"17901","ENSG00000175931",1140,0.0021,0.0388,0.923,0.98,"UBE2O","9606.ENSP00000323687","Ensembl_gene"
"17902","ENSG00000187961",646,0.0022,0.0366,0.923,0.98,"KLHL17","9606.ENSP00000343930","Ensembl_gene"
"17903","ENSG00000188511",460,-0.0022,0.0329,0.923,0.98,"C22orf34","#N/A","#N/A"
"17904","ENSG00000265148",1693,-0.0022,0.0354,0.923,0.98,"TSPOAP1-AS1","#N/A","#N/A"
"17905","ENSG00000057757",1806,0.0022,0.0305,0.923,0.98,"PITHD1","9606.ENSP00000246151","Ensembl_gene"
"17906","ENSG00000104299",909,-0.0022,0.0353,0.923,0.98,"INTS9","9606.ENSP00000429065","Ensembl_gene"
