"","Ensembl_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol","STRING_id","source"
"21259","ENSG00000119636",221,0,0.0014,0.919,0.976,"BBOF1","9606.ENSP00000377577","Ensembl_gene"
"21260","ENSG00000149634",22,0,0.0014,0.919,0.976,"SPATA25","9606.ENSP00000361597","Ensembl_gene"
"21261","ENSG00000163719",7428,1e-04,0.0014,0.919,0.976,"MTMR14","9606.ENSP00000296003","Ensembl_gene"
"21262","ENSG00000207175",2,0,0.0014,0.919,0.976,"RNU1-67P","#N/A","#N/A"
"21263","ENSG00000251039",9,0,0.0014,0.919,0.976,"IGKV2D-40","#N/A","#N/A"
"21264","ENSG00000260625",11,0,0.0014,0.919,0.976,"AC026471.2","#N/A","#N/A"
"21265","ENSG00000168411",780,0,0.0014,0.919,0.976,"RFWD3","9606.ENSP00000354361","Ensembl_gene"
"21266","ENSG00000284657",4,0,0.0014,0.919,0.976,"AL031432.5","#N/A","#N/A"
"21267","ENSG00000278266",2,0,0.0014,0.919,0.976,"AC079949.2","#N/A","#N/A"
"21268","ENSG00000094916",1366,0,0.0014,0.92,0.976,"CBX5","9606.ENSP00000209875","Ensembl_gene"
"21269","ENSG00000138741",3,0,0.0014,0.92,0.976,"TRPC3","9606.ENSP00000368966","Ensembl_gene"
"21270","ENSG00000170190",2229,0,0.0014,0.92,0.976,"SLC16A5","9606.ENSP00000390564","Ensembl_gene"
"21271","ENSG00000171475",2861,1e-04,0.0014,0.92,0.976,"WIPF2","9606.ENSP00000320924","Ensembl_gene"
"21272","ENSG00000182795",41,0,0.0014,0.92,0.976,"C1orf116","9606.ENSP00000352447","Ensembl_gene"
"21273","ENSG00000210151",50,0,0.0014,0.92,0.976,"MT-TS1","#N/A","#N/A"
"21274","ENSG00000083457",527,0,0.0014,0.92,0.977,"ITGAE","9606.ENSP00000263087","Ensembl_gene"
"21275","ENSG00000070444",2493,0,0.0014,0.92,0.977,"MNT","9606.ENSP00000174618","Ensembl_gene"
