"","signature","padj","comparison","method","ln_padj"
"795","LS_Dup_W4",6.17691728190886e-09,"eso_high_dupi","LEANR+ORA",18.9024465116273
"796","LS_pre_post_DPL",2.21764534005189e-39,"eso_high_dupi","LEANR+ORA",89.0043726514132
"797","LS_v_NL_BSL",9.70376810533946e-28,"eso_high_dupi","LEANR+ORA",62.1998683292887
"798","serum_AD_eosinophil_high_pre_v_post_DP",4.51700151581809e-24,"eso_high_dupi","LEANR+ORA",53.754193839604
"799","serum_AD_m3_v_m0_DP",9.10469359242005e-23,"eso_high_dupi","LEANR+ORA",50.7506670789219
"800","LS_v_NL_post_DP",2.21895001027243e-11,"eso_high_dupi","LEANR+ORA",24.5314019072809
"801","LS_Dup_W16",1.88484508844612e-10,"eso_high_dupi","LEANR+ORA",22.3920052936132
"802","serum_AD_eosinophil_high_pre_v_post_DP",1.34627604512691e-14,"eso_high_dupi","LEANR+ORA",31.9388490061886
"803","serum_AD_m3_v_m0_DP",5.5526565864633e-10,"eso_high_dupi","LEANR+ORA",21.3115744524777
"804","LS_pre_post_DPL",0.000635797790594238,"eso_high_dupi","LEANR+ORA",7.36062998449481
"805","LS_v_NL_BSL",0.00090116089108623,"eso_high_dupi","LEANR+ORA",7.01182674683449
"806","LS_v_NL_post_DP",0.0112264427530549,"eso_high_dupi","LEANR+ORA",4.48948332327417
"807","LS_pre_post_DPL",1.3738888403721e-17,"eso_high_dupi","LEANR+ORA",38.8263012925751
"808","serum_AD_eosinophil_high_pre_v_post_DP",5.31602423003095e-13,"eso_high_dupi","LEANR+ORA",28.2628805101379
"809","LS_v_NL_BSL",5.01169690068779e-12,"eso_high_dupi","LEANR+ORA",26.0192465554465
"810","LS_v_NL_post_DP",0.000272374065873922,"eso_high_dupi","LEANR+ORA",8.20833419426417
"811","LS_pre_post_DPL",8.79685481877402e-28,"eso_high_dupi","LEANR+ORA",62.2979883531917
"812","LS_v_NL_BSL",4.29469086491017e-17,"eso_high_dupi","LEANR+ORA",37.6865670036268
"813","serum_AD_eosinophil_high_pre_v_post_DP",5.46548188718139e-14,"eso_high_dupi","LEANR+ORA",30.5377390071981
"814","serum_AD_m3_v_m0_DP",1.48630148202257e-11,"eso_high_dupi","LEANR+ORA",24.9321452156402
"815","LS_v_NL_post_DP",6.74784102708165e-07,"eso_high_dupi","LEANR+ORA",14.2088730450759
"816","LS_pre_post_DPL",3.15737027664478e-41,"eso_high_dupi","LEANR+ORA",93.2562493225553
"817","serum_AD_eosinophil_high_pre_v_post_DP",2.02880031111012e-28,"eso_high_dupi","LEANR+ORA",63.7649379652257
"818","LS_v_NL_BSL",2.98448365187261e-25,"eso_high_dupi","LEANR+ORA",56.4712005739167
"819","serum_AD_m3_v_m0_DP",1.80249897072136e-23,"eso_high_dupi","LEANR+ORA",52.3702831197146
"820","LS_v_NL_post_DP",2.30427955476389e-12,"eso_high_dupi","LEANR+ORA",26.7962530459224
"821","LS_Dup_W16",9.1136774945769e-10,"eso_high_dupi","LEANR+ORA",20.8160746234417
"822","LS_pre_post_DPL",2.55066028720453e-40,"eso_high_dupi","LEANR+ORA",91.167051457951
"823","LS_v_NL_BSL",3.38185139034533e-29,"eso_high_dupi","LEANR+ORA",65.556544388669
"824","serum_AD_eosinophil_high_pre_v_post_DP",2.31456477648082e-21,"eso_high_dupi","LEANR+ORA",47.5150652845314
"825","serum_AD_m3_v_m0_DP",1.32850294405827e-18,"eso_high_dupi","LEANR+ORA",41.1624789716006
"826","LS_v_NL_post_DP",1.11086140034386e-11,"eso_high_dupi","LEANR+ORA",25.223300272225
"827","LS_Dup_W16",8.71873921720326e-09,"eso_high_dupi","LEANR+ORA",18.5577911946621
"828","LS_pre_post_DPL",6.99130546537621e-09,"eso_high_dupi","LEANR+ORA",18.7785985362821
"829","LS_v_NL_BSL",4.92950316371306e-07,"eso_high_dupi","LEANR+ORA",14.5228574461337
"830","LS_v_NL_post_DP",0.00881328229274136,"eso_high_dupi","LEANR+ORA",4.73149534397611
"831","LS_pre_post_DPL",5.27527499199416e-49,"eso_high_dupi","LEANR+ORA",111.163638747521
"832","serum_AD_eosinophil_high_pre_v_post_DP",8.71390049494758e-36,"eso_high_dupi","LEANR+ORA",80.7281438391426
"833","LS_v_NL_BSL",1.10844050354169e-34,"eso_high_dupi","LEANR+ORA",78.1849390861077
"834","serum_AD_m3_v_m0_DP",1.53167368296981e-32,"eso_high_dupi","LEANR+ORA",73.2563619278514
"835","LS_v_NL_post_DP",8.81258555111841e-14,"eso_high_dupi","LEANR+ORA",30.060010425897
"836","LS_Dup_W16",1.29452678257051e-12,"eso_high_dupi","LEANR+ORA",27.3728759064233
"837","LS_Dup_W4",5.9955531803166e-11,"eso_high_dupi","LEANR+ORA",23.5374179650979
"838","LS_pre_post_DPL",7.9315420980838e-07,"eso_high_dupi","LEANR+ORA",14.0472481703983
"839","LS_v_NL_BSL",0.000378226025890142,"eso_high_dupi","LEANR+ORA",7.88001858895648
"840","LS_pre_post_DPL",4.42420618165345e-39,"eso_high_dupi","LEANR+ORA",88.3137277583775
"841","serum_AD_eosinophil_high_pre_v_post_DP",7.77658745514583e-39,"eso_high_dupi","LEANR+ORA",87.7497010152479
"842","serum_AD_m3_v_m0_DP",3.89221714858862e-30,"eso_high_dupi","LEANR+ORA",67.7185738334804
"843","LS_v_NL_BSL",9.52824783587716e-20,"eso_high_dupi","LEANR+ORA",43.7974410168441
"844","LS_v_NL_post_DP",2.17719258393527e-07,"eso_high_dupi","LEANR+ORA",15.3400594096258
"845","LS_Dup_W16",1.06362939541302e-06,"eso_high_dupi","LEANR+ORA",13.7538235403015
"846","LS_Dup_W4",5.47875160673679e-06,"eso_high_dupi","LEANR+ORA",12.1146332919464
"847","LS_v_NL_DP_W0",0.0150027802643784,"eso_high_dupi","LEANR+ORA",4.19951974409674
"848","LS_pre_post_DPL",0.0130782322096213,"eso_high_dupi","LEANR+ORA",4.33680609425659
"849","serum_AD_eosinophil_high_pre_v_post_DP",1.06674678582143e-10,"eso_high_dupi","LEANR+ORA",22.961237299916
"850","LS_pre_post_DPL",1.176698593668e-08,"eso_high_dupi","LEANR+ORA",18.2579680286145
"851","serum_AD_m3_v_m0_DP",5.14977275868425e-08,"eso_high_dupi","LEANR+ORA",16.7817281547776
"852","LS_v_NL_BSL",4.00464992474074e-07,"eso_high_dupi","LEANR+ORA",14.7306394838113
"853","LS_Dup_W16",0.000614665140691021,"eso_high_dupi","LEANR+ORA",7.39443292512572
"854","LS_pre_post_DPL",1.81004254368837e-21,"eso_high_dupi","LEANR+ORA",47.7609366030733
"855","serum_AD_eosinophil_high_pre_v_post_DP",1.30856497803858e-16,"eso_high_dupi","LEANR+ORA",36.5724303877327
"856","serum_AD_m3_v_m0_DP",6.00108721852593e-14,"eso_high_dupi","LEANR+ORA",30.4442506460162
"857","LS_v_NL_BSL",1.54147293568442e-11,"eso_high_dupi","LEANR+ORA",24.8956976118744
"858","LS_v_NL_post_DP",4.0857674763687e-06,"eso_high_dupi","LEANR+ORA",12.4080009705869
"859","LS_pre_post_DPL",2.54988014467884e-27,"eso_high_dupi","LEANR+ORA",61.2337511548603
"860","LS_v_NL_BSL",2.71337222658592e-16,"eso_high_dupi","LEANR+ORA",35.8431692625385
"861","serum_AD_eosinophil_high_pre_v_post_DP",7.90333481223116e-16,"eso_high_dupi","LEANR+ORA",34.7740766893722
"862","serum_AD_m3_v_m0_DP",1.36685180951753e-15,"eso_high_dupi","LEANR+ORA",34.2262662486651
"863","LS_Dup_W16",1.17954847713361e-07,"eso_high_dupi","LEANR+ORA",15.9529639322055
"864","LS_v_NL_post_DP",8.81314654562057e-07,"eso_high_dupi","LEANR+ORA",13.9418511186322
"865","LS_pre_post_DPL",1.15948893107785e-19,"eso_high_dupi","LEANR+ORA",43.601137435508
